id,city,timestamp,temperature,humidity,wind_speed,pm10,pm2_5,nitrogen_dioxide,ozone,hour,day,month,weekday
1246,Ahmedabad,2025-11-19 20:16:48.973530+05:30,21.3,49.0,2.694444444444444,53.35,49.95,8.05,142.0,20,19,11,Wednesday
1247,Bengaluru,2025-11-19 20:16:48.700100+05:30,22.4,83.0,3.6944444444444446,12.45,11.75,10.35,99.0,20,19,11,Wednesday
1248,Bhopal,2025-11-19 20:16:49.035330+05:30,18.6,43.0,1.3888888888888888,77.65,71.35,4.85,147.0,20,19,11,Wednesday
1249,Chennai,2025-11-19 20:16:48.696976+05:30,27.1,79.0,6.499999999999999,30.35,25.95,3.45,134.0,20,19,11,Wednesday
1250,Dehradun,2025-11-19 20:16:49.138217+05:30,13.0,65.0,2.111111111111111,12.65,12.45,6.45,144.0,20,19,11,Wednesday
1251,Delhi,2025-11-19 20:16:48.698510+05:30,21.4,56.0,1.1944444444444444,70.05,69.05,49.95,197.0,20,19,11,Wednesday
1252,Hyderabad,2025-11-19 20:16:48.646310+05:30,19.1,68.0,2.611111111111111,41.95,40.75,7.45,178.0,20,19,11,Wednesday
1253,Indore,2025-11-19 20:16:48.983275+05:30,21.1,53.0,2.0,59.25,56.25,7.55,144.0,20,19,11,Wednesday
1254,Jaipur,2025-11-19 20:16:48.936024+05:30,21.3,46.0,1.1944444444444444,52.45,50.35,9.65,152.0,20,19,11,Wednesday
1255,Kolkata,2025-11-19 20:16:48.702271+05:30,26.3,54.0,2.1944444444444446,25.25,25.05,12.95,185.0,20,19,11,Wednesday
1256,Lucknow,2025-11-19 20:16:48.966075+05:30,19.1,78.0,1.0,56.75,53.35,10.15,172.0,20,19,11,Wednesday
1257,Mumbai,2025-11-19 20:16:48.694443+05:30,29.2,37.0,2.1944444444444446,88.85,86.75,40.85,325.0,20,19,11,Wednesday
1258,Patna,2025-11-19 20:16:48.917440+05:30,23.0,69.0,2.1944444444444446,52.35,50.45,13.35,153.0,20,19,11,Wednesday
1259,Pune,2025-11-19 20:16:48.832475+05:30,19.9,35.0,1.3888888888888888,32.65,31.45,5.55,164.0,20,19,11,Wednesday
1260,Surat,2025-11-19 20:16:49.118276+05:30,22.3,41.0,3.5,70.45,68.15,31.55,157.0,20,19,11,Wednesday
1261,Ahmedabad,2025-11-19 21:11:51.929457+05:30,21.2,49.0,2.694444444444444,51.75,48.55,13.55,127.0,21,19,11,Wednesday
1262,Bengaluru,2025-11-19 21:11:51.696126+05:30,21.1,88.0,3.305555555555556,13.15,12.55,17.35,86.0,21,19,11,Wednesday
1263,Bhopal,2025-11-19 21:11:52.133538+05:30,17.1,55.0,1.3888888888888888,77.95,72.75,8.65,133.0,21,19,11,Wednesday
1264,Chennai,2025-11-19 21:11:51.723355+05:30,26.3,84.0,6.111111111111111,29.85,25.55,4.65,130.0,21,19,11,Wednesday
1265,Dehradun,2025-11-19 21:11:52.170919+05:30,12.9,65.0,2.111111111111111,15.75,15.65,12.25,132.0,21,19,11,Wednesday
1266,Delhi,2025-11-19 21:11:51.812030+05:30,18.4,73.0,1.3055555555555556,82.55,81.65,90.65,149.0,21,19,11,Wednesday
1267,Hyderabad,2025-11-19 21:11:51.719816+05:30,19.3,68.0,2.388888888888889,42.25,41.15,12.55,159.0,21,19,11,Wednesday
1268,Indore,2025-11-19 21:11:52.023411+05:30,20.3,56.0,2.0,60.25,57.45,14.25,128.0,21,19,11,Wednesday
1269,Jaipur,2025-11-19 21:11:51.947281+05:30,20.1,49.0,1.1111111111111112,53.85,51.95,18.75,135.0,21,19,11,Wednesday
1270,Kolkata,2025-11-19 21:11:51.714982+05:30,25.2,57.0,2.1944444444444446,35.65,35.55,24.35,160.0,21,19,11,Wednesday
1271,Lucknow,2025-11-19 21:11:51.959142+05:30,18.3,88.0,1.0,62.55,59.55,20.25,155.0,21,19,11,Wednesday
1272,Mumbai,2025-11-19 21:11:51.688002+05:30,28.4,40.0,4.111111111111112,76.55,74.45,29.85,325.0,21,19,11,Wednesday
1273,Patna,2025-11-19 21:11:51.965383+05:30,22.1,69.0,2.111111111111111,61.15,59.45,27.35,131.0,21,19,11,Wednesday
1274,Pune,2025-11-19 21:11:51.912192+05:30,19.5,35.0,1.3055555555555556,32.65,31.45,9.05,154.0,21,19,11,Wednesday
1275,Surat,2025-11-19 21:11:52.231180+05:30,22.0,40.0,3.3888888888888884,68.35,66.25,37.45,139.0,21,19,11,Wednesday
1276,Ahmedabad,2025-11-19 22:20:56.115174+05:30,20.3,53.0,2.694444444444444,54.85,52.05,18.95,111.0,22,19,11,Wednesday
1277,Bengaluru,2025-11-19 22:20:55.825340+05:30,21.2,88.0,3.0,16.75,16.25,23.35,75.0,22,19,11,Wednesday
1278,Bhopal,2025-11-19 22:20:56.407737+05:30,15.4,67.0,1.611111111111111,80.25,75.35,12.05,120.0,22,19,11,Wednesday
1279,Chennai,2025-11-19 22:20:56.367969+05:30,26.4,84.0,5.805555555555555,29.45,25.15,5.55,126.0,22,19,11,Wednesday
1280,Dehradun,2025-11-19 22:20:56.400715+05:30,12.7,65.0,2.111111111111111,22.25,22.15,18.25,120.0,22,19,11,Wednesday
1281,Delhi,2025-11-19 22:20:55.853700+05:30,17.1,77.0,1.3055555555555556,122.35,121.95,122.85,107.0,22,19,11,Wednesday
1282,Hyderabad,2025-11-19 22:20:56.159107+05:30,19.2,64.0,2.111111111111111,46.95,45.95,17.65,139.0,22,19,11,Wednesday
1283,Indore,2025-11-19 22:20:56.392902+05:30,17.4,63.0,2.0,65.15,62.75,20.25,113.0,22,19,11,Wednesday
1284,Jaipur,2025-11-19 22:20:56.141495+05:30,19.1,52.0,1.0,60.15,58.15,27.35,117.0,22,19,11,Wednesday
1285,Kolkata,2025-11-19 22:20:55.900735+05:30,24.3,61.0,2.0,53.85,53.75,34.45,135.0,22,19,11,Wednesday
1286,Lucknow,2025-11-19 22:20:56.127834+05:30,16.1,94.0,1.0,81.15,78.15,29.75,135.0,22,19,11,Wednesday
1287,Mumbai,2025-11-19 22:20:55.828110+05:30,27.4,45.0,3.6944444444444446,76.55,74.45,34.65,313.0,22,19,11,Wednesday
1288,Patna,2025-11-19 22:20:56.374388+05:30,22.3,69.0,1.8888888888888888,79.75,78.15,39.45,108.0,22,19,11,Wednesday
1289,Pune,2025-11-19 22:20:56.162695+05:30,19.1,35.0,1.3888888888888888,36.05,34.85,13.85,141.0,22,19,11,Wednesday
1290,Surat,2025-11-19 22:20:56.404453+05:30,21.4,41.0,3.3888888888888884,70.45,69.05,41.65,123.0,22,19,11,Wednesday
1291,Ahmedabad,2025-11-19 23:11:08.725689+05:30,21.1,46.0,2.611111111111111,59.15,56.35,24.75,92.0,23,19,11,Wednesday
1292,Bengaluru,2025-11-19 23:11:08.357383+05:30,21.2,88.0,2.888888888888889,21.85,21.45,27.55,66.0,23,19,11,Wednesday
1293,Bhopal,2025-11-19 23:11:08.793342+05:30,17.2,59.0,1.6944444444444442,83.55,78.65,14.65,108.0,23,19,11,Wednesday
1294,Chennai,2025-11-19 23:11:08.360095+05:30,26.1,84.0,6.0,29.15,24.85,5.65,124.0,23,19,11,Wednesday
1295,Dehradun,2025-11-19 23:11:08.825473+05:30,12.5,66.0,2.111111111111111,28.05,27.85,24.25,109.0,23,19,11,Wednesday
1296,Delhi,2025-11-19 23:11:08.370310+05:30,16.0,82.0,1.3055555555555556,155.45,154.55,137.85,79.0,23,19,11,Wednesday
1297,Hyderabad,2025-11-19 23:11:08.362683+05:30,19.3,64.0,1.8888888888888888,52.85,51.85,22.95,119.0,23,19,11,Wednesday
1298,Indore,2025-11-19 23:11:08.627490+05:30,17.2,63.0,1.8888888888888888,73.25,70.65,24.95,98.0,23,19,11,Wednesday
1299,Jaipur,2025-11-19 23:11:08.592040+05:30,19.2,52.0,1.0,71.65,69.55,35.15,99.0,23,19,11,Wednesday
1300,Kolkata,2025-11-19 23:11:08.373743+05:30,24.2,61.0,1.8888888888888888,69.05,68.85,41.95,114.0,23,19,11,Wednesday
1301,Lucknow,2025-11-19 23:11:08.629823+05:30,16.3,100.0,1.0,98.15,95.15,38.05,111.0,23,19,11,Wednesday
1302,Mumbai,2025-11-19 23:11:08.365329+05:30,26.4,45.0,3.1111111111111107,76.25,73.95,33.85,275.0,23,19,11,Wednesday
1303,Patna,2025-11-19 23:11:08.621637+05:30,20.3,78.0,1.805555555555556,96.55,94.95,48.75,85.0,23,19,11,Wednesday
1304,Pune,2025-11-19 23:11:08.588580+05:30,18.3,37.0,1.8888888888888888,42.45,41.25,21.35,120.0,23,19,11,Wednesday
1305,Surat,2025-11-19 23:11:08.801179+05:30,21.0,41.0,3.305555555555556,73.75,72.05,42.35,110.0,23,19,11,Wednesday
1306,Ahmedabad,2025-11-20 00:19:25.897156+05:30,20.4,49.0,2.888888888888889,59.55,57.15,33.45,59.0,0,20,11,Thursday
1307,Bengaluru,2025-11-20 00:19:25.727209+05:30,20.1,94.0,2.611111111111111,23.95,23.65,31.55,55.0,0,20,11,Thursday
1308,Bhopal,2025-11-20 00:19:27.152588+05:30,16.3,68.0,1.3055555555555556,86.55,82.35,18.05,86.0,0,20,11,Thursday
1309,Chennai,2025-11-20 00:19:25.704328+05:30,26.2,84.0,5.611111111111111,28.25,23.75,5.25,121.0,0,20,11,Thursday
1310,Dehradun,2025-11-20 00:19:27.331218+05:30,12.4,66.0,2.111111111111111,37.85,37.75,35.65,87.0,0,20,11,Thursday
1311,Delhi,2025-11-20 00:19:25.712451+05:30,16.0,82.0,1.3055555555555556,191.35,190.85,148.25,40.0,0,20,11,Thursday
1312,Hyderabad,2025-11-20 00:19:25.762245+05:30,18.1,64.0,1.3055555555555556,56.95,55.75,32.15,84.0,0,20,11,Thursday
1313,Indore,2025-11-20 00:19:26.099491+05:30,16.0,68.0,1.611111111111111,80.75,78.35,30.55,74.0,0,20,11,Thursday
1314,Jaipur,2025-11-20 00:19:27.517857+05:30,18.2,56.0,1.0,87.45,85.65,46.75,67.0,0,20,11,Thursday
1315,Kolkata,2025-11-20 00:19:25.994703+05:30,24.3,65.0,2.1944444444444446,92.85,92.35,51.85,77.0,0,20,11,Thursday
1316,Lucknow,2025-11-20 00:19:25.936557+05:30,16.2,100.0,1.0,120.55,117.75,51.25,64.0,0,20,11,Thursday
1317,Mumbai,2025-11-20 00:19:27.787776+05:30,25.3,51.0,2.888888888888889,69.05,66.55,27.35,175.0,0,20,11,Thursday
1318,Patna,2025-11-20 00:19:26.584566+05:30,20.2,78.0,1.3888888888888888,117.05,115.45,59.45,46.0,0,20,11,Thursday
1319,Pune,2025-11-20 00:19:25.919128+05:30,16.8,41.0,1.6944444444444442,49.75,48.15,35.15,78.0,0,20,11,Thursday
1320,Surat,2025-11-20 00:19:26.165135+05:30,20.1,42.0,3.3888888888888884,70.25,68.65,40.25,87.0,0,20,11,Thursday
1321,Ahmedabad,2025-11-20 01:09:41.401698+05:30,20.3,49.0,2.888888888888889,59.55,57.15,33.45,59.0,1,20,11,Thursday
1322,Bengaluru,2025-11-20 01:09:41.199113+05:30,20.2,94.0,2.611111111111111,23.95,23.65,31.55,55.0,1,20,11,Thursday
1323,Bhopal,2025-11-20 01:09:41.588993+05:30,16.0,63.0,1.3055555555555556,86.55,82.35,18.05,86.0,1,20,11,Thursday
1324,Chennai,2025-11-20 01:09:41.203378+05:30,25.0,89.0,5.611111111111111,28.25,23.75,5.25,121.0,1,20,11,Thursday
1325,Dehradun,2025-11-20 01:09:41.617590+05:30,12.4,66.0,2.111111111111111,37.85,37.75,35.65,87.0,1,20,11,Thursday
1326,Delhi,2025-11-20 01:09:41.194862+05:30,16.3,82.0,1.3055555555555556,191.35,190.85,148.25,40.0,1,20,11,Thursday
1327,Hyderabad,2025-11-20 01:09:41.201006+05:30,18.0,68.0,1.3055555555555556,56.95,55.75,32.15,84.0,1,20,11,Thursday
1328,Indore,2025-11-20 01:09:41.472947+05:30,16.2,68.0,1.611111111111111,80.75,78.35,30.55,74.0,1,20,11,Thursday
1329,Jaipur,2025-11-20 01:09:41.415248+05:30,16.2,63.0,1.0,87.45,85.65,46.75,67.0,1,20,11,Thursday
1330,Kolkata,2025-11-20 01:09:41.280850+05:30,23.4,69.0,2.1944444444444446,92.85,92.35,51.85,77.0,1,20,11,Thursday
1331,Lucknow,2025-11-20 01:09:41.417751+05:30,15.0,100.0,1.0,120.55,117.75,51.25,64.0,1,20,11,Thursday
1332,Mumbai,2025-11-20 01:09:41.192319+05:30,25.2,51.0,2.888888888888889,69.05,66.55,27.35,175.0,1,20,11,Thursday
1333,Patna,2025-11-20 01:09:41.422278+05:30,20.4,78.0,1.3888888888888888,117.05,115.45,59.45,46.0,1,20,11,Thursday
1334,Pune,2025-11-20 01:09:41.424937+05:30,16.8,41.0,1.6944444444444442,49.75,48.15,35.15,78.0,1,20,11,Thursday
1335,Surat,2025-11-20 01:09:41.641073+05:30,20.1,42.0,3.3888888888888884,70.25,68.65,40.25,87.0,1,20,11,Thursday
1336,Ahmedabad,2025-11-20 02:10:39.766626+05:30,20.2,49.0,3.1111111111111107,57.65,55.45,31.35,56.0,2,20,11,Thursday
1337,Bengaluru,2025-11-20 02:10:39.551312+05:30,20.3,94.0,2.694444444444444,24.15,23.75,29.45,56.0,2,20,11,Thursday
1338,Bhopal,2025-11-20 02:10:39.930615+05:30,16.3,63.0,1.611111111111111,86.75,82.55,17.65,81.0,2,20,11,Thursday
1339,Chennai,2025-11-20 02:10:39.521610+05:30,25.3,83.0,5.805555555555555,27.65,22.95,5.45,117.0,2,20,11,Thursday
1340,Dehradun,2025-11-20 02:10:39.952684+05:30,12.2,66.0,2.111111111111111,41.35,41.25,39.55,75.0,2,20,11,Thursday
1341,Delhi,2025-11-20 02:10:39.543708+05:30,15.2,88.0,1.3055555555555556,202.05,201.05,149.95,29.0,2,20,11,Thursday
1342,Hyderabad,2025-11-20 02:10:39.548243+05:30,17.0,72.0,1.3055555555555556,59.15,57.85,33.75,80.0,2,20,11,Thursday
1343,Indore,2025-11-20 02:10:39.784719+05:30,16.3,68.0,1.5,81.15,79.05,28.55,71.0,2,20,11,Thursday
1344,Jaipur,2025-11-20 02:10:39.753551+05:30,17.2,63.0,1.0,93.25,91.45,46.45,63.0,2,20,11,Thursday
1345,Kolkata,2025-11-20 02:10:39.562416+05:30,22.3,73.0,2.694444444444444,98.85,97.45,52.05,66.0,2,20,11,Thursday
1346,Lucknow,2025-11-20 02:10:39.769390+05:30,15.3,100.0,1.0,127.05,124.25,53.55,51.0,2,20,11,Thursday
1347,Mumbai,2025-11-20 02:10:39.535264+05:30,24.0,50.0,3.1111111111111107,66.95,64.45,26.75,151.0,2,20,11,Thursday
1348,Patna,2025-11-20 02:10:39.783411+05:30,19.1,83.0,1.1944444444444444,118.85,117.25,55.65,43.0,2,20,11,Thursday
1349,Pune,2025-11-20 02:10:39.724120+05:30,16.4,42.0,1.805555555555556,51.25,49.55,34.25,72.0,2,20,11,Thursday
1350,Surat,2025-11-20 02:10:39.931943+05:30,19.7,42.0,3.5,69.75,68.15,39.45,78.0,2,20,11,Thursday
1351,Ahmedabad,2025-11-20 03:09:44.679142+05:30,18.2,60.0,3.5,55.95,53.95,26.45,60.0,3,20,11,Thursday
1352,Bengaluru,2025-11-20 03:09:44.478789+05:30,20.2,94.0,2.805555555555556,24.75,24.45,25.15,62.0,3,20,11,Thursday
1353,Bhopal,2025-11-20 03:09:44.843021+05:30,12.3,94.0,1.611111111111111,86.55,82.85,16.35,79.0,3,20,11,Thursday
1354,Chennai,2025-11-20 03:09:44.473745+05:30,24.3,89.0,6.305555555555555,26.95,22.35,5.85,111.0,3,20,11,Thursday
1355,Dehradun,2025-11-20 03:09:44.887175+05:30,12.0,67.0,2.0,43.35,43.25,42.45,62.0,3,20,11,Thursday
1356,Delhi,2025-11-20 03:09:44.464273+05:30,15.2,88.0,1.3055555555555556,210.85,210.35,148.75,23.0,3,20,11,Thursday
1357,Hyderabad,2025-11-20 03:09:44.481037+05:30,16.3,72.0,1.611111111111111,62.35,60.95,33.75,82.0,3,20,11,Thursday
1358,Indore,2025-11-20 03:09:44.697132+05:30,12.0,82.0,1.805555555555556,81.65,79.55,24.25,73.0,3,20,11,Thursday
1359,Jaipur,2025-11-20 03:09:44.668431+05:30,15.1,67.0,1.0,98.45,96.55,43.05,66.0,3,20,11,Thursday
1360,Kolkata,2025-11-20 03:09:44.461693+05:30,21.3,78.0,2.5,101.25,98.85,49.85,59.0,3,20,11,Thursday
1361,Lucknow,2025-11-20 03:09:44.701346+05:30,15.1,100.0,1.0,130.35,127.55,53.45,44.0,3,20,11,Thursday
1362,Mumbai,2025-11-20 03:09:44.454296+05:30,25.1,47.0,2.0,63.25,60.95,19.35,134.0,3,20,11,Thursday
1363,Patna,2025-11-20 03:09:44.699158+05:30,20.1,88.0,1.0,117.45,116.15,47.45,47.0,3,20,11,Thursday
1364,Pune,2025-11-20 03:09:44.659428+05:30,16.0,44.0,1.6944444444444442,51.25,49.55,29.95,72.0,3,20,11,Thursday
1365,Surat,2025-11-20 03:09:44.875011+05:30,19.3,43.0,3.5,69.75,68.35,38.65,70.0,3,20,11,Thursday
1366,Ahmedabad,2025-11-20 04:12:54.935622+05:30,17.1,63.0,3.5,53.45,51.75,21.75,64.0,4,20,11,Thursday
1367,Bengaluru,2025-11-20 04:12:54.680493+05:30,20.3,94.0,2.5,25.45,25.05,20.65,68.0,4,20,11,Thursday
1368,Bhopal,2025-11-20 04:12:55.151278+05:30,12.3,88.0,1.6944444444444442,86.05,82.35,15.05,77.0,4,20,11,Thursday
1369,Chennai,2025-11-20 04:12:54.712316+05:30,24.4,89.0,6.388888888888888,26.25,21.65,5.85,107.0,4,20,11,Thursday
1370,Dehradun,2025-11-20 04:12:55.166209+05:30,11.9,67.0,2.0,43.35,43.15,43.75,51.0,4,20,11,Thursday
1371,Delhi,2025-11-20 04:12:54.714574+05:30,15.1,88.0,1.1944444444444444,216.95,215.95,148.35,18.0,4,20,11,Thursday
1372,Hyderabad,2025-11-20 04:12:54.849939+05:30,16.1,72.0,1.611111111111111,66.05,64.45,32.75,85.0,4,20,11,Thursday
1373,Indore,2025-11-20 04:12:55.040402+05:30,13.0,82.0,1.8888888888888888,81.65,79.35,20.55,74.0,4,20,11,Thursday
1374,Jaipur,2025-11-20 04:12:54.941424+05:30,14.1,72.0,1.0,101.85,100.05,39.05,70.0,4,20,11,Thursday
1375,Kolkata,2025-11-20 04:12:54.723754+05:30,21.2,78.0,2.694444444444444,100.95,98.65,47.05,54.0,4,20,11,Thursday
1376,Lucknow,2025-11-20 04:12:54.946214+05:30,15.0,100.0,1.0,129.35,126.55,52.25,39.0,4,20,11,Thursday
1377,Mumbai,2025-11-20 04:12:54.729946+05:30,24.0,50.0,3.611111111111111,66.95,64.65,27.15,125.0,4,20,11,Thursday
1378,Patna,2025-11-20 04:12:55.084701+05:30,20.1,88.0,1.0,114.75,113.35,40.15,51.0,4,20,11,Thursday
1379,Pune,2025-11-20 04:12:55.010355+05:30,15.6,46.0,1.6944444444444442,48.55,46.85,25.45,73.0,4,20,11,Thursday
1380,Surat,2025-11-20 04:12:55.158273+05:30,19.0,43.0,3.3888888888888884,69.05,67.65,37.65,64.0,4,20,11,Thursday
1381,Ahmedabad,2025-11-20 05:10:31.859546+05:30,16.0,68.0,3.5,50.35,48.65,18.35,66.0,5,20,11,Thursday
1382,Bengaluru,2025-11-20 05:10:31.694070+05:30,20.2,94.0,2.388888888888889,25.75,25.35,15.85,76.0,5,20,11,Thursday
1383,Bhopal,2025-11-20 05:10:32.033591+05:30,12.0,88.0,1.6944444444444442,85.65,82.15,14.15,74.0,5,20,11,Thursday
1384,Chennai,2025-11-20 05:10:31.658047+05:30,24.3,89.0,5.888888888888888,25.65,21.15,5.25,104.0,5,20,11,Thursday
1385,Dehradun,2025-11-20 05:10:32.100557+05:30,11.8,66.0,2.0,41.35,41.15,42.75,41.0,5,20,11,Thursday
1386,Delhi,2025-11-20 05:10:31.660428+05:30,14.3,94.0,1.0,219.25,218.35,150.35,13.0,5,20,11,Thursday
1387,Hyderabad,2025-11-20 05:10:31.686461+05:30,15.2,82.0,1.6944444444444442,69.55,67.95,30.25,88.0,5,20,11,Thursday
1388,Indore,2025-11-20 05:10:31.914589+05:30,14.0,77.0,2.0,81.65,79.35,18.35,74.0,5,20,11,Thursday
1389,Jaipur,2025-11-20 05:10:31.895810+05:30,13.2,77.0,1.0,103.25,101.45,34.45,76.0,5,20,11,Thursday
1390,Kolkata,2025-11-20 05:10:31.699226+05:30,21.1,78.0,2.805555555555556,100.95,98.65,44.25,50.0,5,20,11,Thursday
1391,Lucknow,2025-11-20 05:10:31.902295+05:30,15.2,100.0,1.0,127.05,123.75,49.45,36.0,5,20,11,Thursday
1392,Mumbai,2025-11-20 05:10:31.702470+05:30,24.1,50.0,3.6944444444444446,67.25,65.35,27.45,111.0,5,20,11,Thursday
1393,Patna,2025-11-20 05:10:31.907554+05:30,19.3,94.0,1.0,114.05,112.35,35.25,52.0,5,20,11,Thursday
1394,Pune,2025-11-20 05:10:31.852408+05:30,15.2,47.0,1.6944444444444442,44.95,43.45,21.35,74.0,5,20,11,Thursday
1395,Surat,2025-11-20 05:10:32.047773+05:30,18.8,44.0,3.3888888888888884,67.25,65.85,36.45,61.0,5,20,11,Thursday
1396,Ahmedabad,2025-11-20 07:47:17.564983+05:30,15.2,67.0,3.611111111111111,47.15,45.95,12.95,71.0,7,20,11,Thursday
1397,Bengaluru,2025-11-20 07:47:17.382090+05:30,20.3,88.0,2.611111111111111,28.65,28.05,7.45,93.0,7,20,11,Thursday
1398,Bhopal,2025-11-20 07:47:17.762803+05:30,13.1,94.0,2.0,86.25,82.35,12.75,68.0,7,20,11,Thursday
1399,Chennai,2025-11-20 07:47:17.344336+05:30,24.2,89.0,7.111111111111112,24.05,19.65,3.55,100.0,7,20,11,Thursday
1400,Dehradun,2025-11-20 07:47:17.821487+05:30,13.6,67.0,1.805555555555556,35.15,34.95,37.55,25.0,7,20,11,Thursday
1401,Delhi,2025-11-20 07:47:17.383841+05:30,13.2,100.0,1.0,221.15,220.65,155.05,7.0,7,20,11,Thursday
1402,Hyderabad,2025-11-20 07:47:17.357024+05:30,17.4,83.0,1.805555555555556,73.95,72.05,23.45,97.0,7,20,11,Thursday
1403,Indore,2025-11-20 07:47:17.746115+05:30,12.2,88.0,2.388888888888889,84.95,82.15,15.75,74.0,7,20,11,Thursday
1404,Jaipur,2025-11-20 07:47:17.610172+05:30,14.1,67.0,1.0,106.05,104.25,24.95,91.0,7,20,11,Thursday
1405,Kolkata,2025-11-20 07:47:17.380545+05:30,22.4,69.0,2.694444444444444,91.65,89.55,37.45,46.0,7,20,11,Thursday
1406,Lucknow,2025-11-20 07:47:17.614882+05:30,14.2,100.0,1.0,122.35,119.35,42.15,36.0,7,20,11,Thursday
1407,Mumbai,2025-11-20 07:47:17.377350+05:30,22.2,61.0,3.888888888888889,63.95,62.55,28.45,88.0,7,20,11,Thursday
1408,Patna,2025-11-20 07:47:17.784566+05:30,20.2,94.0,1.3055555555555556,116.55,114.45,28.75,52.0,7,20,11,Thursday
1409,Pune,2025-11-20 07:47:17.706217+05:30,16.4,50.0,1.8888888888888888,41.25,39.75,13.65,76.0,7,20,11,Thursday
1410,Surat,2025-11-20 07:47:17.820875+05:30,18.2,48.0,3.5,64.85,63.25,34.45,58.0,7,20,11,Thursday
1411,Ahmedabad,2025-11-20 09:01:57.641695+05:30,17.1,55.0,4.5,46.85,46.05,10.65,72.0,9,20,11,Thursday
1412,Bengaluru,2025-11-20 09:01:57.419365+05:30,22.3,83.0,3.0,28.15,27.65,7.25,92.0,9,20,11,Thursday
1413,Bhopal,2025-11-20 09:01:57.818946+05:30,18.1,73.0,2.611111111111111,87.45,83.25,12.05,63.0,9,20,11,Thursday
1414,Chennai,2025-11-20 09:01:57.436969+05:30,26.4,84.0,7.611111111111111,22.25,18.05,3.05,96.0,9,20,11,Thursday
1415,Dehradun,2025-11-20 09:01:57.892103+05:30,19.7,50.0,1.0,28.95,28.75,32.55,12.0,9,20,11,Thursday
1416,Delhi,2025-11-20 09:01:57.423945+05:30,16.0,82.0,1.0,222.05,221.15,155.15,3.0,9,20,11,Thursday
1417,Hyderabad,2025-11-20 09:01:57.392692+05:30,20.4,60.0,2.611111111111111,79.05,76.55,16.35,114.0,9,20,11,Thursday
1418,Indore,2025-11-20 09:01:57.663525+05:30,17.4,72.0,3.0,88.85,85.85,16.15,68.0,9,20,11,Thursday
1419,Jaipur,2025-11-20 09:01:57.635684+05:30,17.4,68.0,1.1111111111111112,106.55,104.65,19.95,95.0,9,20,11,Thursday
1420,Kolkata,2025-11-20 09:01:57.434721+05:30,25.2,57.0,3.0,78.35,77.25,30.25,47.0,9,20,11,Thursday
1421,Lucknow,2025-11-20 09:01:57.644143+05:30,19.3,83.0,1.0,120.05,117.05,39.25,30.0,9,20,11,Thursday
1422,Mumbai,2025-11-20 09:01:57.426899+05:30,25.2,47.0,3.611111111111111,58.85,57.65,28.65,74.0,9,20,11,Thursday
1423,Patna,2025-11-20 09:01:57.662006+05:30,23.1,44.0,1.611111111111111,121.45,119.35,30.85,37.0,9,20,11,Thursday
1424,Pune,2025-11-20 09:01:57.626689+05:30,21.5,37.0,2.694444444444444,40.15,38.65,11.35,72.0,9,20,11,Thursday
1425,Surat,2025-11-20 09:01:57.934701+05:30,23.5,40.0,4.111111111111112,63.75,62.05,34.55,55.0,9,20,11,Thursday
1426,Ahmedabad,2025-11-20 10:14:58.641112+05:30,20.0,49.0,4.611111111111112,47.55,46.65,10.75,71.0,10,20,11,Thursday
1427,Bengaluru,2025-11-20 10:14:58.387205+05:30,24.0,74.0,2.888888888888889,27.95,27.55,8.75,92.0,10,20,11,Thursday
1428,Bhopal,2025-11-20 10:14:58.822576+05:30,19.0,68.0,2.694444444444444,89.35,84.45,11.65,63.0,10,20,11,Thursday
1429,Chennai,2025-11-20 10:14:58.417925+05:30,27.4,84.0,8.194444444444445,21.55,17.45,3.25,94.0,10,20,11,Thursday
1430,Dehradun,2025-11-20 10:14:58.869769+05:30,21.1,46.0,1.6944444444444442,26.55,26.45,30.45,10.0,10,20,11,Thursday
1431,Delhi,2025-11-20 10:14:58.426850+05:30,18.1,77.0,1.0,223.45,222.55,154.35,3.0,10,20,11,Thursday
1432,Hyderabad,2025-11-20 10:14:58.394892+05:30,23.1,50.0,3.0,75.55,73.05,17.75,117.0,10,20,11,Thursday
1433,Indore,2025-11-20 10:14:58.756193+05:30,22.0,57.0,3.194444444444444,90.95,87.65,16.85,66.0,10,20,11,Thursday
1434,Jaipur,2025-11-20 10:14:58.672158+05:30,21.3,46.0,1.611111111111111,106.35,104.45,20.05,94.0,10,20,11,Thursday
1435,Kolkata,2025-11-20 10:14:58.540621+05:30,26.2,51.0,3.194444444444444,75.35,74.45,27.05,55.0,10,20,11,Thursday
1436,Lucknow,2025-11-20 10:14:58.669140+05:30,22.2,61.0,1.0,120.55,117.75,38.15,31.0,10,20,11,Thursday
1437,Mumbai,2025-11-20 10:14:58.416452+05:30,27.1,42.0,3.0,56.65,55.35,29.25,71.0,10,20,11,Thursday
1438,Patna,2025-11-20 10:14:58.653875+05:30,24.7,41.0,1.6944444444444442,125.65,123.35,31.75,37.0,10,20,11,Thursday
1439,Pune,2025-11-20 10:14:58.605911+05:30,23.3,34.0,3.0,40.35,38.85,11.75,71.0,10,20,11,Thursday
1440,Surat,2025-11-20 10:14:58.861150+05:30,25.9,36.0,4.305555555555555,63.25,61.65,34.95,55.0,10,20,11,Thursday
1441,Ahmedabad,2025-11-20 11:13:54.001314+05:30,23.3,41.0,4.5,48.65,47.85,12.85,66.0,11,20,11,Thursday
